education,customer_id,age,marital,job,default,balance,housing,loan
secondary,103291,41.0,married,blue-collar,no,1384,yes,no
primary,103292,50.0,married,blue-collar,no,5131,yes,no
secondary,103294,46.0,married,admin.,no,556,yes,yes
tertiary,103308,53.0,married,entrepreneur,no,420,yes,no
secondary,103309,51.0,married,retired,no,0,no,no
primary,103315,52.0,divorced,blue-collar,no,-191,yes,no
secondary,103322,56.0,married,retired,no,1894,yes,no
primary,103324,45.0,married,blue-collar,no,2217,yes,no
unknown,103326,43.0,single,self-employed,no,3173,no,no
secondary,103329,40.0,married,services,no,4157,yes,no
secondary,103335,46.0,single,management,no,244,yes,no
primary,103357,44.0,married,entrepreneur,no,276,yes,yes
primary,103361,45.0,married,blue-collar,no,959,yes,no
secondary,103364,58.0,married,technician,no,5618,yes,no
secondary,103373,47.0,divorced,admin.,no,106,yes,no
primary,103379,40.0,married,blue-collar,no,2651,yes,no
secondary,103385,47.0,married,services,no,3216,yes,no
secondary,103386,40.0,married,blue-collar,no,8150,yes,no
primary,103395,59.0,married,blue-collar,no,320,yes,no
unknown,103401,44.0,married,blue-collar,no,146,yes,no
tertiary,103410,44.0,married,management,no,2400,yes,no
secondary,103415,49.0,single,admin.,no,716,yes,no
primary,103425,49.0,married,unknown,no,341,yes,yes
secondary,103426,53.0,single,admin.,no,1178,yes,no
primary,103432,50.0,married,entrepreneur,no,461,yes,no
secondary,103441,60.0,divorced,admin.,no,3020,yes,no
secondary,103443,60.0,married,retired,no,0,yes,no
secondary,103450,29.0,single,blue-collar,no,874,yes,no
secondary,103460,47.0,married,services,no,2796,yes,no
secondary,103469,28.0,single,student,no,0,yes,no
primary,103472,40.0,married,services,no,-9,yes,no
primary,103479,41.0,married,ADMINISTRATION,no,-306,yes,no
unknown,103485,57.0,married,admin.,no,0,yes,no
tertiary,103490,40.0,single,management,no,157,yes,no
tertiary,103495,46.0,married,management,no,1038,yes,yes
primary,103499,55.0,divorced,services,no,2923,yes,no
primary,103502,54.0,divorced,services,no,234,yes,no
primary,103509,30.0,married,blue-collar,no,124,yes,no
tertiary,103518,41.0,married,management,no,6060,yes,no
secondary,103526,57.0,married,services,no,84,yes,no
unknown,103544,58.0,married,technician,no,49,yes,no
tertiary,103555,44.0,married,technician,no,4580,yes,no
secondary,103562,56.0,married,unemployed,no,2552,yes,no
secondary,103568,32.0,single,admin.,no,287,no,no
secondary,103578,32.0,married,services,no,401,yes,no
tertiary,103587,47.0,divorced,management,no,10399,yes,no
tertiary,103590,33.0,divorced,management,no,893,yes,no
primary,103598,60.0,single,services,no,313,yes,no
tertiary,103601,29.0,married,management,no,10576,no,no
primary,103610,41.0,divorced,retired,no,-233,yes,no
SECONDARY,103612,59.0,single,management,no,671,yes,yes
primary,103620,41.0,married,blue-collar,no,2453,yes,no
secondary,103622,49.0,single,services,no,3061,yes,no
secondary,103626,43.0,single,blue-collar,no,421,yes,no
primary,103627,26.0,married,blue-collar,no,500,yes,no
primary,103636,51.0,married,blue-collar,no,4497,yes,no
primary,103646,50.0,married,housemaid,no,395,yes,no
secondary,103649,42.0,single,technician,no,1364,yes,no
secondary,103658,46.0,married,blue-collar,no,668,yes,no
primary,103669,52.0,married,blue-collar,no,1079,yes,no
secondary,103672,32.0,single,services,no,772,yes,no
tertiary,103681,54.0,single,management,no,1439,yes,no
secondary,103716,61.0,married,retired,no,280,yes,no
secondary,103725,31.0,single,blue-collar,no,33,yes,no
secondary,103732,45.0,married,technician,no,89,yes,no
tertiary,103736,58.0,married,management,no,2360,no,no
secondary,103744,51.0,married,blue-collar,no,1414,yes,no
tertiary,103747,58.0,divorced,management,no,1533,no,no
secondary,103768,36.0,married,blue-collar,no,512,yes,no
secondary,103774,31.0,single,housemaid,no,1301,yes,no
primary,103777,40.0,married,services,no,44,yes,no
unknown,103778,36.0,single,services,no,281,yes,no
secondary,103779,40.0,married,admin.,no,2,yes,no
primary,103781,39.0,married,blue-collar,no,2133,yes,yes
tertiary,103782,,married,technician,no,94,yes,yes
secondary,103801,31.0,single,blue-collar,no,0,yes,yes
tertiary,103802,33.0,married,management,no,273,yes,no
secondary,103803,42.0,divorced,admin.,no,153,yes,no
tertiary,103809,31.0,single,self-employed,no,144,yes,no
secondary,103813,40.0,married,services,no,446,yes,no
secondary,103815,26.0,married,blue-collar,no,246,yes,no
secondary,103818,25.0,married,admin.,no,16,yes,no
tertiary,103823,56.0,divorced,management,no,975,yes,no
primary,103831,45.0,married,blue-collar,no,804,yes,no
secondary,103833,40.0,married,technician,no,257,yes,no
primary,103835,26.0,single,blue-collar,no,102,yes,no
secondary,103850,31.0,married,blue-collar,no,92,yes,no
SECONDARY,103855,35.0,married,services,no,1053,yes,no
secondary,103859,57.0,divorced,retired,no,70,yes,no
primary,103867,59.0,married,retired,no,646,yes,no
secondary,103870,33.0,married,blue-collar,no,58,no,no
secondary,103871,29.0,single,admin.,no,163,yes,yes
primary,103872,39.0,married,blue-collar,no,385,yes,no
secondary,103883,43.0,married,management,no,-26,yes,no
tertiary,103884,36.0,single,technician,no,705,yes,no
secondary,103895,25.0,married,blue-collar,no,109,yes,no
unknown,103896,30.0,single,blue-collar,no,194,yes,no
secondary,103905,27.0,single,technician,no,1742,yes,no
tertiary,103907,32.0,single,self-employed,no,12269,no,no
primary,103911,37.0,single,blue-collar,no,117,yes,no
secondary,103913,23.0,single,admin.,no,178,yes,no
secondary,103919,29.0,single,blue-collar,no,1166,yes,no
secondary,103920,37.0,divorced,services,no,49,yes,no
primary,103922,38.0,married,unemployed,no,113,yes,no
SECONDARY,103928,43.0,married,management,no,452,yes,no
primary,103930,40.0,married,blue-collar,no,1758,yes,no
secondary,103931,33.0,single,blue-collar,no,-416,yes,no
secondary,103936,24.0,single,technician,no,409,yes,no
primary,103941,24.0,married,blue-collar,no,656,yes,no
secondary,103953,35.0,married,blue-collar,no,53,yes,no
primary,103965,53.0,married,blue-collar,no,634,yes,no
secondary,103966,44.0,married,services,no,0,yes,yes
secondary,103973,30.0,single,blue-collar,no,132,yes,no
SECONDARY,103977,50.0,divorced,admin.,no,363,yes,no
tertiary,103982,27.0,single,technician,no,3706,yes,no
tertiary,103990,32.0,single,entrepreneur,no,1,yes,yes
secondary,104000,46.0,married,technician,no,4956,yes,no
unknown,104013,55.0,married,services,no,-45,yes,no
tertiary,104021,50.0,single,management,no,567,yes,no
primary,104034,41.0,married,blue-collar,no,208,yes,no
secondary,104035,49.0,divorced,unemployed,no,495,yes,no
unknown,104039,48.0,married,services,no,1155,yes,no
secondary,104048,33.0,single,blue-collar,no,371,yes,no
primary,104070,45.0,married,blue-collar,no,137,yes,yes
primary,104071,49.0,married,management,no,267,yes,no
secondary,104075,45.0,married,self-employed,no,1113,yes,no
tertiary,104083,54.0,single,management,no,4393,yes,no
primary,104087,52.0,married,blue-collar,no,1007,yes,no
primary,104093,56.0,married,blue-collar,no,8318,yes,no
primary,104097,41.0,single,blue-collar,no,0,yes,no
secondary,104100,30.0,single,technician,no,863,yes,no
secondary,104103,40.0,married,blue-collar,no,0,yes,no
secondary,104104,55.0,married,technician,no,2055,yes,no
SECONDARY,104113,36.0,married,services,no,279,no,no
secondary,104115,53.0,divorced,technician,no,751,yes,no
primary,104124,38.0,single,blue-collar,no,1465,yes,no
tertiary,104126,42.0,single,management,no,10561,no,no
secondary,104129,35.0,single,admin.,no,368,yes,no
primary,104136,34.0,married,blue-collar,no,695,yes,yes
tertiary,104141,25.0,single,management,no,99,yes,yes
secondary,104143,37.0,single,management,no,792,yes,no
secondary,104153,26.0,single,admin.,no,-326,yes,no
secondary,104175,44.0,married,services,no,556,no,no
tertiary,104178,42.0,divorced,management,no,0,no,no
secondary,104181,31.0,married,blue-collar,no,43,yes,no
secondary,104184,50.0,divorced,blue-collar,no,2402,yes,no
secondary,104185,44.0,married,entrepreneur,yes,-848,yes,no
secondary,104189,43.0,married,services,no,384,yes,yes
secondary,104191,41.0,single,admin.,no,1020,yes,no
primary,104199,38.0,married,blue-collar,no,2407,yes,no
secondary,104200,52.0,married,technician,no,1781,yes,no
secondary,104201,49.0,married,technician,no,4667,yes,no
tertiary,104209,26.0,single,technician,no,75,yes,yes
SECONDARY,104217,27.0,married,technician,no,374,yes,no
secondary,104219,41.0,divorced,services,no,-19,yes,no
secondary,104237,47.0,married,blue-collar,no,863,yes,no
primary,104251,42.0,married,housemaid,no,14752,no,no
tertiary,104255,40.0,married,technician,no,296,no,no
primary,104258,20.0,married,blue-collar,no,-172,yes,yes
primary,104261,49.0,married,blue-collar,no,284,yes,no
secondary,104275,31.0,single,admin.,no,6042,yes,no
secondary,104278,24.0,single,technician,no,-46,yes,no
tertiary,104284,31.0,single,technician,no,221,yes,no
secondary,104286,31.0,married,admin.,no,97,yes,no
secondary,104301,31.0,married,blue-collar,no,754,yes,no
unknown,104306,30.0,single,blue-collar,no,0,yes,no
secondary,104312,44.0,married,retired,no,181,yes,no
secondary,104320,42.0,married,unemployed,no,1990,yes,yes
tertiary,104323,51.0,single,management,no,824,no,no
primary,104341,34.0,married,blue-collar,no,-288,yes,no
secondary,104342,41.0,married,self-employed,no,713,yes,no
tertiary,104351,44.0,divorced,management,no,409,yes,no
unknown,104361,60.0,married,technician,no,148,yes,no
tertiary,104366,29.0,single,management,no,-233,yes,no
secondary,104372,43.0,divorced,services,no,1040,yes,no
tertiary,104375,42.0,divorced,management,no,1116,yes,no
tertiary,104414,37.0,divorced,management,no,122,yes,no
secondary,104419,36.0,divorced,technician,no,141,yes,no
secondary,104426,30.0,married,blue-collar,no,0,no,no
tertiary,104427,30.0,single,technician,no,880,yes,yes
secondary,104429,34.0,divorced,blue-collar,no,164,yes,no
secondary,104430,41.0,married,technician,no,501,yes,no
tertiary,104459,32.0,divorced,management,no,312,yes,yes
secondary,104460,37.0,single,technician,no,61,yes,no
unknown,104466,50.0,married,technician,no,413,yes,no
secondary,104470,44.0,married,blue-collar,no,261,yes,no
secondary,104472,57.0,married,technician,no,437,yes,no
tertiary,104478,30.0,single,technician,no,3291,yes,no
primary,104479,41.0,married,management,no,2592,yes,no
secondary,104484,28.0,single,student,no,154,yes,no
secondary,104485,31.0,single,management,no,0,yes,no
tertiary,104488,38.0,single,management,no,690,yes,no
secondary,104492,33.0,single,admin.,no,434,yes,no
tertiary,104493,37.0,married,management,no,897,no,no
secondary,104503,36.0,married,blue-collar,no,4438,yes,no
secondary,104509,35.0,married,entrepreneur,no,24,yes,no
secondary,104512,39.0,married,unemployed,no,0,yes,no
primary,104514,32.0,divorced,management,no,137,yes,no
secondary,104517,35.0,divorced,blue-collar,no,0,yes,no
secondary,104518,31.0,married,blue-collar,no,-88,yes,no
SECONDARY,104525,40.0,married,technician,no,1259,no,no
secondary,104528,29.0,single,services,no,271,yes,no
primary,104532,35.0,married,blue-collar,no,102,yes,no
secondary,104554,39.0,married,services,no,0,yes,no
secondary,104556,31.0,married,blue-collar,no,2,yes,no
tertiary,104561,39.0,married,self-employed,no,3059,yes,yes
secondary,104562,36.0,married,technician,no,412,yes,yes
primary,104567,39.0,married,housemaid,no,4904,yes,no
secondary,104574,36.0,married,technician,no,84,yes,no
tertiary,104587,27.0,single,technician,no,-291,yes,no
primary,104589,58.0,married,housemaid,no,11,yes,no
secondary,104590,34.0,divorced,technician,no,2036,yes,yes
secondary,104598,39.0,married,blue-collar,no,0,yes,yes
secondary,104610,35.0,married,services,no,4170,yes,no
primary,104619,40.0,married,blue-collar,no,-740,yes,no
secondary,104621,41.0,single,services,no,1629,yes,no
secondary,104628,39.0,married,blue-collar,no,327,yes,no
secondary,104629,35.0,married,admin.,no,-130,yes,no
primary,104632,39.0,married,blue-collar,no,780,yes,no
secondary,104639,36.0,married,admin.,no,2030,yes,no
tertiary,104642,43.0,married,management,no,-8,yes,no
tertiary,104647,37.0,single,technician,no,5122,yes,no
tertiary,104649,40.0,married,admin.,no,0,yes,no
secondary,104655,34.0,single,admin.,no,126,yes,no
primary,104658,59.0,married,blue-collar,no,14,yes,yes
tertiary,104660,34.0,single,admin.,no,458,yes,no
secondary,104672,29.0,single,services,no,0,yes,no
secondary,104673,39.0,single,blue-collar,no,4286,yes,no
tertiary,104677,32.0,single,management,no,1271,yes,no
secondary,104685,33.0,married,services,no,210,yes,yes
secondary,104692,39.0,married,admin.,no,2019,yes,no
primary,104693,38.0,married,blue-collar,no,178,yes,no
secondary,104697,31.0,single,blue-collar,no,5607,no,no
primary,104706,33.0,married,blue-collar,no,3512,yes,no
tertiary,104707,37.0,married,entrepreneur,no,4798,yes,no
secondary,104708,34.0,single,technician,no,85,yes,no
secondary,104712,36.0,single,management,no,360,yes,no
secondary,104717,37.0,divorced,blue-collar,no,614,yes,no
secondary,104723,34.0,married,services,no,-508,yes,no
secondary,104735,31.0,single,admin.,no,431,yes,yes
secondary,104741,44.0,divorced,technician,no,982,yes,no
secondary,104753,34.0,married,services,yes,421,yes,no
secondary,104754,36.0,single,services,no,774,yes,no
secondary,104767,55.0,married,self-employed,no,-196,yes,no
tertiary,104773,30.0,single,management,no,1724,yes,no
primary,104776,36.0,married,blue-collar,no,408,yes,yes
secondary,104783,39.0,single,technician,no,1022,yes,no
secondary,104794,48.0,married,blue-collar,no,5058,no,no
secondary,104798,31.0,divorced,admin.,no,1352,yes,no
primary,104801,31.0,married,blue-collar,no,855,yes,yes
primary,104805,58.0,married,blue-collar,no,23,yes,no
secondary,104812,52.0,married,services,no,0,yes,no
unknown,104820,35.0,married,blue-collar,no,4822,yes,no
secondary,104826,38.0,married,blue-collar,no,526,yes,no
primary,104835,38.0,married,blue-collar,no,0,yes,yes
secondary,104836,31.0,married,blue-collar,no,897,yes,no
secondary,104844,58.0,married,entrepreneur,no,2429,no,yes
primary,104847,50.0,married,blue-collar,no,2610,yes,yes
secondary,104848,30.0,single,blue-collar,no,178,yes,no
unknown,104849,34.0,married,blue-collar,no,1117,yes,no
tertiary,104853,31.0,single,services,no,1025,no,no
primary,104854,41.0,married,blue-collar,no,1250,yes,no
primary,104858,60.0,married,blue-collar,no,674,yes,no
unknown,104862,39.0,married,blue-collar,no,1096,no,no
secondary,104863,57.0,divorced,services,no,739,yes,no
SECONDARY,104866,31.0,married,blue-collar,no,3311,yes,no
primary,104872,,married,blue-collar,no,5,yes,no
secondary,104875,32.0,married,technician,no,641,yes,no
tertiary,104879,54.0,divorced,retired,no,6102,yes,yes
secondary,104888,34.0,divorced,blue-collar,no,0,no,yes
tertiary,104889,34.0,married,management,no,363,no,no
primary,104893,40.0,single,management,no,858,yes,no
secondary,104894,35.0,married,blue-collar,no,592,yes,no
secondary,104899,58.0,married,technician,no,8153,yes,no
secondary,104901,34.0,single,blue-collar,no,558,yes,no
primary,104914,31.0,single,blue-collar,no,216,yes,no
secondary,104919,34.0,married,blue-collar,no,1207,yes,no
tertiary,104922,33.0,married,management,no,3090,yes,no
secondary,104927,39.0,married,technician,no,597,yes,no
primary,104928,40.0,married,blue-collar,no,1136,yes,no
secondary,104930,33.0,single,blue-collar,no,17,yes,no
secondary,104936,32.0,married,technician,no,791,yes,no
unknown,104944,37.0,married,admin.,no,734,yes,no
secondary,104945,31.0,single,technician,no,109,yes,no
secondary,104947,31.0,married,services,no,11512,yes,no
tertiary,104951,35.0,single,management,no,-289,yes,no
secondary,104957,33.0,married,management,no,56,yes,no
secondary,104958,34.0,married,blue-collar,no,405,yes,no
tertiary,104967,36.0,married,management,no,849,yes,yes
primary,104982,30.0,married,blue-collar,no,453,yes,no
secondary,104993,35.0,married,blue-collar,no,-557,yes,yes
secondary,104998,30.0,single,blue-collar,yes,239,yes,no
tertiary,105007,31.0,married,technician,no,4315,yes,no
secondary,105017,37.0,single,technician,no,1211,yes,no
secondary,105023,31.0,married,blue-collar,no,932,yes,no
secondary,105029,37.0,married,services,no,405,yes,no
tertiary,105042,54.0,divorced,management,no,487,yes,no
secondary,105048,31.0,married,admin.,no,8784,yes,no
primary,105049,36.0,married,blue-collar,no,599,yes,no
secondary,105051,29.0,married,admin.,no,688,yes,no
tertiary,105054,31.0,single,technician,no,1887,no,yes
